database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	L_01_1	L_02_1	L_03_1	L_04_1	L_05_1	L_06_1	L_08_1	L_09_1	L_10_1	L_11_1	L_12_1	L_13_1	L_16_1	L_17_1	L_18_1	L_19_1	L_20_1	L_21_1	L_22_1	L_23_1	L_24_1	L_25_1	L_26_1	L_27_1	L_28_1	L_29_1	L_30_1	L_31_1	L_32_1	L_33_1	L_34_1	L_35_1	L_36_1	L_37_1	L_38_1	L_39_1	L_40_1	L_42_1	L_44_1	L_45_1	L_46_1	L_47_1	L_48_1	L_50_1	L_51_1	L_52_1	L_53_1	L_54_1	L_57_1	L_60_1	alkane_1
unknown				PR-MST					1683	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										4.6711	3.3794	6.511	5.036	4.9702	5.4384	5.7379	4.7031	4.7324	5.6509	4.2595	4.8633	3.3121	5.3442	5.2259	5.4449	4.1759	5.5751	6.3095	3.9253	2.958	4.8426	4.6082	4.8997	3.9916	5.4467	4.752	4.1816	2.4324	5.3716	3.5658	4.261	2.3977	3.9741	5.2685	4.2349	3.5095	6.4656	6.2523	6.841	6.4195	5.9531	6.309	7.9055	4.7934	4.9282	6.3579	5.3843	7.1425	5.5035	
unknown				PR-MST					1684	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										65.1763	41.0506	65.3643	61.0134	55.4184	61.1815	58.7435	70.3165	67.9748	54.6907	55.7045	78.2083	34.9888	62.1058	80.6314	80.2211	52.5162	70.9585	61.8882	44.4062	29.734	50.523	62.2346	47.8379	46.5318	51.6124	51.6001	59.4231	25.6261	58.1828	57.5571	62.5079	27.3796	62.8661	48.2679	63.0384	37.8476	58.5508	44.038	76.2238	50.6438	60.6612	67.2198	55.9202	51.6859	64.4256	67.4063	78.6133	58.3696	42.0808	
CHEBI:30997	C6H10O5	C1C2C(C(C(C(O1)O2)O)O)O	InChI=1S/C6H10O5/c7-3-2-1-10-6(11-2)5(9)4(3)8/h2-9H,1H2/t2-,3-,4+,5-,6-/m1/s1	1,6-anhydro-Glucose					1695	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										15.0165	9.4633	15.557	19.1107	16.2802	18.1538	14.5764	17.9576	17.119	15.4234	16.3455	21.2838	10.2819	14.2344	20.133	20.4223	17.9022	18.4078	17.3699	12.97	9.0355	15.8771	14.2451	16.2605	11.9118	18.5634	16.0421	17.9306	9.1206	19.6397	17.8645	14.9395	8.4431	18.6442	18.5384	14.5564	14.5352	21.1705	17.4096	19.4995	20.5531	19.0206	20.3066	20.1578	19.5229	19.1979	20.1829	21.9147	21.3743	18.0785	
CHEBI:17270	C3H9O6P	C(C(CO)OP(=O)(O)O)O	InChI=1S/C3H9O6P/c4-1-3(2-5)9-10(6,7)8/h3-5H,1-2H2,(H2,6,7,8)	Glycerol-2-phosphate					1706	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										0.4022	0.44737	0.74706	1.2843	0.54264	1.1863	0.27941	0.70953	0.63515	0.38329	0.58172	0.91781	0.52273	0.59588	1.371	0.5088	0.38413	1.35	1.2062	1.5314	1.2355	1.0524	0.47061	0.61168	1.7465	1.3545	0.57203	1.3465	0.99868	1.3904	1.3754	0.69404	0.75988	1.1745	0.81652	1.3039	0.48182	0.52996	0.30548	1.2003	0.96619	0.6306	1.2834	0.55192	0.78765	0.92916	1.0591	0.399	1.0148	0.57968	
unknown				PR-MST					1709	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										47.8451	29.9251	65.2343	55.4396	48.6558	49.9386	48.6412	49.8117	46.8108	48.3068	42.3003	59.9737	28.9556	43.2168	70.5075	47.5472	35.8987	50.6403	54.5901	31.1571	22.5945	33.6935	34.8315	28.8489	33.1895	46.2206	34.4814	39.2019	15.9551	42.4712	34.4062	31.466	19.5532	39.9517	38.5463	32.3058	20.2068	48.0885	35.6709	60.7851	51.2073	50.9387	55.4126	39.7482	44.6518	52.6493	56.914	42.6989	57.2623	37.9786	
unknown				MST					1716	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										66.6578	31.488	69.0827	54.9838	65.724	55.1382	57.8598	61.7254	51.9354	55.3265	54.4357	53.4281	32.5893	42.9798	70.4219	70.1086	50.6015	55.021	57.6678	26.1152	16.8051	40.6954	50.1963	44.1234	29.0119	50.6283	51.6642	58.809	20.7131	59.9658	49.8979	47.2163	25.7222	58.0771	56.1112	44.8491	44.3086	61.5248	50.3513	65.5813	57.722	56.8275	63.1819	61.4892	50.5552	51.42	64.8384	59.235	64.2416	50.6802	
unknown				PR-MST					1720	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										16.1788	7.1569	17.6998	15.1369	15.9138	14.7833	13.2496	14.5321	12.3761	12.7584	14.2579	13.3513	8.3189	9.2099	17.5312	15.5619	11.8703	14.448	14.6613	6.9703	5	11.376	10.9487	10.2123	7.6871	13.9729	12.6297	14.509	5.96	16.1727	13.8998	11.5848	7.1556	14.6118	14.9083	10.6703	10.5942	15.9095	11.9607	16.3821	16.8517	14.3143	16.6272	15.893	13.8287	14.1574	18.182	14.9941	18.658	13.2571	
unknown				MST					1727	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										38.0837	20.201	40.73	33.4989	40.1939	36.0461	45.7548	42.8357	35.7408	46.4801	40.5609	36.1961	25.3645	30.6844	36.7074	39.6546	37.8275	33.14	35.6041	20.138	15.3139	33.7267	36.2007	41.6479	21.0193	36.0015	36.7946	33.6286	16.5716	28.6468	24.699	31.6147	18.0618	33.9141	34.1309	24.4423	33.5443	40.1958	34.9913	31.2845	31.3645	36.6844	32.071	37.6976	34.5532	36.2389	27.8609	33.3792	32.9618	35.2496	
unknown				MST					1733	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										52.0952	35.6536	15.4749	18.1451	13.4705	50.7844	16.1531	51.2677	49.123	15.9152	16.089	54.7776	9.6053	50.4717	60.1924	54.0592	41.2356	53.1952	14.1442	45.1935	22.1478	33.4598	48.1535	12.1668	46.1189	14.219	38.5843	55.247	6.4038	24.95	55.2474	48.6907	7.763	53.8717	13.065	47.7582	11.7891	65.3593	11.4731	60.6394	12.2305	49.2213	67.1278	13.0753	47.654	68.8838	50.6247	54.002	14.497	12.4091	
CHEBI:17148	C4H12N2	C(CCN)CN	InChI=1S/C4H12N2/c5-3-1-2-4-6/h1-6H2	Putrescine					1737	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										422.7587	230.3987	388.077	441.9628	447.1549	415.0503	369.7573	389.2134	321.2208	418.8848	411.7485	428.2326	256.7306	318.3337	418.5127	429.3413	384.0085	349.3885	379.7794	253.5002	192.1028	419.4671	381.1883	376.2962	240.468	379.8182	389.7899	394.8941	208.3461	418.0245	351.972	418.1831	196.5566	421.4735	395.2716	347.8744	443.2552	431.209	378.7262	443.3263	348.8823	381.7145	428.0981	406.759	406.8499	434.9164	409.0771	407.0248	383.6526	396.4073	
unknown				MST					1742	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										156.2157	91.3016	156.114	133.3496	150.6335	141.8411	131.1791	146.3021	122.9493	132.813	136.0862	129.9749	84.8162	109.3434	168.2248	171.8471	119.129	129.9477	136.5466	74.0739	55.8815	103.2254	119.5829	110.0396	85.1665	122.3691	126.7053	135.9939	65.3245	143.9432	127.9797	123.2994	75.701	142.5988	132.0801	123.8495	110.7264	153.4816	118.1667	152.4725	139.7722	139.1263	154.0331	149.8763	127.5586	133.6383	158.0199	143.0059	152.9767	117.0189	
CHEBI:14336	C3H9O6P	C(C(COP(=O)(O)O)O)O	InChI=1S/C3H9O6P/c4-1-3(5)2-9-10(6,7)8/h3-5H,1-2H2,(H2,6,7,8)	Glycerol-3-phosphate					1744	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										186.5564	180.3856	201.472	227.1795	199.142	228.8994	209.7092	221.553	220.6327	217.6575	195.8047	182.6209	148.4096	230.9811	256.4656	221.192	203.5472	222.8626	219.6425	203.9304	192.0569	199.0709	195.9466	204.3777	195.9746	221.1991	202.8821	203.1242	160.4692	222.5082	212.3068	182.3432	142.881	214.819	215.0682	214.5379	177.7207	216.6713	170.4441	211.1477	193.7791	211.4328	232.6016	215.9325	212.4795	209.5757	220.9843	133.021	228.474	198.5478	
unknown				MST					1752	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										77.4623	57.765	129.4354	153.9982	135.7928	142.1178	131.7537	119.7717	104.8773	141.9555	126.8386	78.1714	81.3321	94.9264	140.8758	122.4318	129.44	123.1808	136.9927	68.5116	62.3153	125.313	90.3482	117.8724	58.7058	145.3108	113.1997	113.9635	69.0759	129.0696	106.5388	80.2941	57.0446	115.7309	145.0737	79.6129	105.3324	164.2013	149.1851	143.6061	170.1203	149.7948	145.4486	172.4775	148.1163	109.0593	132.6566	78.5083	160.8658	138.7245	
CHEBI:28300	C5H10N2O3	NC(CCC(N)=O)C(O)=O	InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1	Glutamine					1763	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										224.9294	123.4548	24.1076	45.9776	65.9482	81.0434	50.0185	167.3027	172.895	68.0255	77.6324	383.0833	31.1027	162.9669	157.7267	345.8041	98.6458	159.3122	32.1599	219.3385	89.8855	69.4705	207.0127	45.1572	220.8989	83.7812	87.3943	190.6101	34.9022	141.4945	252.9501	325.181	38.6668	260.0491	87.2878	320.194	81.5382	136.2969	33.1611	145.6482	62.598	158.195	230.3513	91.4034	208.9263	412.3604	370.9336	157.1641	162.9249	87.3548	
unknown				PR-MST					1773	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										59.2258	54.8769	64.8188	65.9779	57.5539	71.4885	64.6608	82.0313	78.2032	63.5674	60.3825	48.6375	46.2958	76.7818	84.3468	81.4097	62.9427	73.0342	65.7886	58.553	48.9038	60.2645	66.3408	59.005	50.4994	62.9711	62.6584	72.5902	44.3394	63.1551	69.7733	58.9119	39.1571	75.2944	54.5419	65.6946	52.8974	73.992	54.0478	79.5572	68.6426	67.6024	84.3222	73.6402	65.5728	84.816	91.1219	15.7183	77.1761	64.4733	
unknown				MST					1788	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										13.656	15.61	6.433	3.4597	7.0376	1.8359	14.0541	13.2912	23.0688	5.2096	6.7727	15.9678	26.336	19.366	2.3	10.3957	107.1356	2.4283	2.1803	12.4792	8.4882	2.5886	25.6854	7.2992	6.6316	2.1477	5.2081	4.5724	140.3965	0.9088	3.9835	10.5374	12.4355	5.3355	8.2746	19.7904	2.7845	16.4886	9.0234	3.1554	2.373	16.9458	11.4832	19.6463	12.0424	8.4098	5.7035	6.2225	6.3942	13.7448	
CHEBI:36208	C7H9O5-	O[C@@H]1CC(=C[C@@H](O)[C@H]1O)C([O-])=O	InChI=1S/C7H10O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1,4-6,8-10H,2H2,(H,11,12)/p-1/t4-,5-,6-/m1/s1	Shikimate					1788	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										42.1701	25.2874	50.8914	41.0281	41.4928	40.8496	45.0391	44.5176	39.6845	44.4718	39.5053	41.1845	27.4374	36.4836	45.3664	41.3436	41.8347	38.0332	43.7898	26.4902	18.6117	35.7957	35.8765	38.9297	25.2736	37.0162	34.7264	38.311	19.439	34.7501	30.8851	27.9053	17.0596	37.014	37.0375	28.2889	31.112	51.8896	43.8806	51.4292	48.0988	51.4747	55.7691	49.1551	47.9935	51.7976	53.6999	39.5684	53.7772	47.6513	
CHEBI:16947	C6H5O7-3	C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O	InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)/p-3	Citrate					1803	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										77.3649	52.935	140.105	126.9327	78.6582	83.7933	200.5352	107.438	100.5016	128.8428	106.6656	101.4211	72.6241	91.8994	92.4014	96.2469	91.1645	117.4417	109.5585	65.6452	41.5139	71.0674	97.9825	102.8578	61.0164	89.67	79.2528	87.3846	49.1415	72.8823	82.8025	80.9056	49.3713	86.2645	96.7275	62.7911	46.1794	71.3124	78.1614	84.5655	95.6494	86.692	96.6305	104.8018	62.3609	68.3544	88.5865	53.557	145.2281	69.3171	
CHEBI:18257	C5H12N2O2	C(CC(C(=O)O)N)CN	InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)/t4-/m0/s1	Ornithine					1808	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										85.6432	42.854	74.2163	73.4703	125.4095	117.7463	92.068	104.4774	108.9837	85.6195	181.3451	123.0074	61.9391	56.5013	135.18	173.4649	108.008	108.1257	120.9802	66.8148	51.4412	102.079	140.0951	144.2486	59.8668	110.1071	131.2384	109.6788	70.3754	116.5909	83.4835	94.9727	44.8941	114.549	101.512	120.3442	121.2017	324.5103	176.6621	228.3488	227.3912	215.1573	219.7798	323.8703	193.6382	263.8339	307.6555	153.2137	216.5201	193.2809	
CHEBI:29016	C6H14N4O2	C(CC(C(=O)O)N)CN=C(N)N	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)	Arginine, NH3					1813	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										41.8005	36.1041	33.809	55.5343	60.2366	66.5266	36.9038	63.3474	64.187	35.0489	96.0396	86.4153	38.6455	71.0982	104.1746	70.559	64.2218	56.4805	65.7211	63.1862	40.4344	62.0877	70.9667	72.4674	51.0867	68.5879	84.7715	73.5613	38.4716	91.3145	83.514	77.0716	32.396	105.8444	68.6579	83.5501	81.8982	195.4656	109.7326	169.0412	128.0223	98.0148	127.4232	147.8059	106.858	196.9349	180.7057	96.0241	128.1737	142.518	
unknown				PR-MST					1816	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										23.7157	8.8234	18.2965	18.4164	17.0816	20.7435	16.9699	24.1311	18.1474	12.9085	17.0648	28.4134	12.0427	17.9655	30.1107	26.8894	16.8868	23.602	17.3412	9.093	6.892	17.0061	20.6818	15.6121	13.0523	18.8396	17.4105	23.3018	8.3729	22.1375	22.3458	19.5693	9.0592	27.4868	18.0833	17.8974	13.5995	27.0448	16.8649	33.3065	25.883	19.5454	28.1391	19.6843	19.9084	33.3813	35.3215	24.5664	23.7923	16.4202	
CHEBI:21363	C5H11NO4S	CS(=O)(=O)CCC(C(=O)O)N	InChI=1S/C5H11NO4S/c1-11(9,10)3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)	Methionine sulfone					1823	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										0.46572	0.48997	0.73694	0.84363	1.1772	0.9673	0.72129	1.0967	0.92072	0.76631	1.3586	1.4161	0.44017	0.88594	1.0587	1.3175	1.3589	0.84517	1.0663	0.90294	0.67345	1.0908	1.2055	1.4246	0.42762	1.1722	1.1683	1.0085	0.81551	1.2242	1.0865	1.3097	0.69972	1.3696	1.1502	1.246	1.3875	14.0895	9.4808	5.4739	8.475	9.8582	10.5337	9.7443	14.4986	15.9332	15.0406	9.6789	12.8712	14.2639	
CHEBI:17242	C6H6O6	OCC(O)C1OC(=O)C(=O)C1=O	InChI=1S/C6H6O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-8H,1H2	Dehydroascorbate					1841	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										6.0576	2.8227	11.8045	8.7717	10.9123	7.885	9.5572	7.0556	5.2855	12.8073	10.3311	4.0733	13.2121	4.8388	5.8803	9.0429	9.1682	6.523	10.3172	3.1255	2.982	7.9216	8.4716	12.5505	2.4337	9.2199	8.1782	6.9495	6.7585	8.6512	4.5533	5.4932	6.1305	7.275	11.8192	4.3584	11.5664	9.4772	11.3942	5.7898	9.3203	8.4685	7.2148	11.3328	8.8535	4.9268	3.9827	5.8467	9.7785	9.5915	
CHEBI:30807	C14H27O2-	C(CCCCCCCC)CCCCC([O-])=O	InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)/p-1	Tetradecanoate					1843	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										370.4245	348.1747	319.1917	319.2737	332.0073	331.2812	331.7595	364.1557	366.1342	329.7029	333.1814	363.1987	304.9626	360.8483	352.3178	373.7136	346.9005	351.4777	321.8454	358.3082	333.2474	332.3107	366.9309	334.7341	356.2521	332.4545	341.6604	365.2384	310.5522	327.2579	356.4077	368.3363	312.0687	363.5356	326.75	370.3721	336.7059	369.7928	313.2314	371.3994	329.1933	349.3044	337.7527	334.4119	347.3865	382.3991	363.6128	352.9468	326.8342	321.2656	
CHEBI:28757	C6H12O6			Fructose					1855	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										3953.521	3527.6939	2312.0315	947.6819	3221.7187	650.7856	3477.6309	3966.9437	3745.3686	3258.4879	1814.5336	3335.4151	2386.9274	3965.1576	689.669	3818.4979	3855.3765	940.9039	602.2978	2287.5425	1551.3571	726.557	3742.4312	2563.5833	381.82	512.0968	2692.8436	707.7613	2091.0336	773.0732	699.0268	3402.3729	2377.6269	1305.0332	2065.9953	1883.8526	2820.4298	2695.8917	3027.4823	371.5348	248.5965	3082.6561	1112.0325	1988.1369	3337.5313	1074.9251	577.4846	3934.7903	1282.9865	2664.0023	
CHEBI:28757	C6H12O6			Fructose					1864	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										2607.3815	3673.941	2497.29	850.2183	2116.4047	417.4499	2110.9487	2456.0029	3829.8852	2020.1135	2136.9437	3335.7348	1806.3307	3787.9662	391.9401	2540.0972	2468.2274	512.0844	615.0322	1696.2142	1326.3162	471.3396	2332.5553	2908.0164	181.0667	482.8758	2878.1906	375.8105	1982.0708	543.9783	357.6218	3260.4647	2350.6303	856.5239	1986.6109	1358.8331	2973.0008	2551.2127	1836.2506	208.8813	291.0181	2753.7786	680.8732	2109.4122	2058.2241	586.3352	306.4758	4581.3584	1185.2553	1914.9937	
CHEBI:17234	C6H12O6			Glucose					1882	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										4349.7342	4186.6167	2957.3051	2052.0947	3425.9142	2010.8448	3581.3052	4264.35	4119.0214	3336.4358	2500.241	3844.3636	2623.1487	4481.1252	2045.0429	4121.9349	4272.8623	2337.8596	2064.5481	3064.9445	2337.487	1943.0385	4107.3889	3191.0554	1406.9003	1970.7705	3157.2844	2131.8636	2519.5131	2161.5299	1999.48	3856.9671	2723.6539	2251.8623	2631.1556	2746.39	3117.0906	3103.383	2944.4508	1726.4986	1633.871	3361.2776	2195.7261	2366.1832	3687.6152	2286.8966	1887.6851	4242.1491	2270.6479	2934.2635	
CHEBI:17566	C10H8N2	N#CCc1c[nH]c2ccccc12	InChI=1S/C10H8N2/c11-6-5-8-7-12-10-4-2-1-3-9(8)10/h1-4,7,12H,5H2	Indole-3-acetonitrile					1887	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										287.3872	275.3231	235.9654	247.8064	143.7286	256.4206	135.5075	295.1394	322.4488	132.681	252.1399	464.7566	146.9179	334.2331	333.2786	362.1246	264.4691	296.3224	207.4441	302.2144	195.9297	193.345	281.6895	209.1216	234.1583	204.6846	242.0927	258.7007	165.2999	243.6289	233.3055	325.5642	180.388	236.7915	226.6848	318.3179	163.9029	250.3652	87.7291	193.5704	146.7665	212.9334	256.8498	187.2359	236.6436	267.7789	231.2588	347.4161	212.4728	142.5897	
unknown				PR-MST					1891	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										380.9948	215.0493	301.3853	99.7786	382.4635	91.8561	331.8983	331.1762	276.1858	299.3714	185.239	254.1722	194.0125	263.7145	124.9099	324.4188	295.4408	113.51	114.3042	105.0105	67.1883	68.4096	269.3758	199.1856	40.5295	85.0429	208.0131	98.8457	97.6491	98.5837	80.4188	216.1635	125.5603	115.9305	167.6002	133.2431	217.2204	225.6436	277.1685	79.1356	70.7477	255.6608	93.8654	176.3024	240.5798	81.4751	97.459	221.6028	153.1794	220.8094	
CHEBI:17234	C6H12O6			Glucose					1904	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										2170.1105	1737.4066	1161.5939	417.6552	1700.1738	382.9384	1866.2315	2123.1442	1705.8768	1716.6055	892.9384	1394.5905	1218.0511	1966.3883	393.6146	2019.5857	1975.8535	492.6743	414.319	720.0685	494.7891	388.1189	1882.7771	1240.4008	246.7943	364.9986	1176.2029	440.8836	647.7549	397.5379	374.9191	1399.1905	804.9871	501.6054	769.3084	596.0194	1361.2076	1206.9784	1522.2754	309.3966	280.65371	1511.8597	498.1233	792.671	1716.3979	465.6865	351.5826	1821.5365	601.1348	1266.4371	
CHEBI:25094	C6H14N2O2	CC(CCCN)(C(=O)O)N	InChI=1S/C6H14N2O2/c1-6(8,5(9)10)3-2-4-7/h2-4,7-8H2,1H3,(H,9,10)	Lysine					1913	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										19.6306	14.0618	20.3415	26.6509	26.8125	28.2508	20.3028	25.3783	27.3618	22.5162	32.2953	26.6367	14.0463	24.2675	29.1069	44.3158	30.2788	31.9907	26.9798	23.467	15.1921	25.3533	31.6012	31.9152	19.0682	29.6501	33.8375	34.7259	15.5776	32.97	28.6007	28.58	13.9437	39.074	28.5562	30.6522	25.4694	35.0392	18.8059	29.3723	23.897	22.5989	26.5482	34.3658	27.7688	34.7445	30.5102	17.4975	26.0806	28.0939	
CHEBI:15760	C8H11NO	C1=CC(=CC=C1CCN)O	InChI=1S/C8H11NO/c9-6-5-7-1-3-8(10)4-2-7/h1-4,10H,5-6,9H2	Tyramine					1914	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										25.4351	18.0932	25.4399	26.7735	28.134	24.2739	24.5408	28.4576	28.6954	27.9294	28.3134	26.7568	17.342	25.0887	27.7801	36.3454	27.91	25.6678	24.8694	18.7252	13.6773	22.2562	26.1364	26.7005	17.5954	23.6904	26.4218	25.1371	14.7133	26.188	22.4642	23.3249	13.8884	28.3033	24.4496	23.0898	21.7099	29.8708	21.8991	25.786	22.2	24.1423	25.2813	29.1449	25.1447	27.9572	26.4036	21.627	25.4204	24.7027	
unknown				PR-MST					1917	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										39.1684	25.1731	44.5337	36.7969	43.5066	37.0146	48.4652	50.9955	43.2338	47.0741	42.5451	57.141	28.7763	43.8655	49.2024	44.9711	33.1025	37.6018	44.0259	29.1312	22.8517	39.082	48.7543	53.0467	30.5343	40.1826	46.1731	40.8907	24.6464	41.55	38.8644	46.4248	26.4811	52.1881	39.141	33.6647	35.7999	119.8453	73.0146	77.4911	80.8244	86.1012	85.6342	93.8342	93.2526	92.2886	80.9964	79.3551	86.3488	102.3157	
unknown				MST					1925	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										66.3092	35.5566	51.0355	47.9867	53.3526	48.1119	48.6492	61.6941	47.7012	59.6119	53.3755	55.3054	28.704	44.4603	53.8859	88.049	58.0112	48.6097	44.4146	33.9305	18.2509	42.5421	53.1985	43.1219	33.674	46.7248	49.7831	57.2149	21.6056	58.5466	45.9604	59.6469	25.5862	55.4982	53.6175	49.7898	50.2348	57.938	50.3898	46.7503	40.9716	61.2737	62.3889	52.0558	62.2017	58.8111	47.6897	62.1252	51.678	50.3659	
unknown				MST					1930	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										18.7865	14.3725	17.9704	17.2195	17.1509	15.8969	18.2198	19.7371	18.0635	18.5026	17.304	18.1699	12.4903	17.0431	16.2269	18.0919	14.8476	14.0781	15.5172	13.6897	11.4586	14.1668	14.4503	14.7027	15.4505	14.5054	13.5882	14.0687	11.5021	13.1515	13.6612	13.0983	10.3617	13.7967	13.841	15.3169	12.6526	16.2236	13.7624	15.0038	14.0525	15.8785	14.892	16.4839	13.9134	16.5672	14.6885	13.3469	13.3921	12.1154	
CHEBI:18186	C9H11NO3	C1=CC(=CC=C1CC(C(=O)O)N)O	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)	Tyrosine					1932	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										8.0548	5.1148	9.5031	12.1049	10.6106	13.0381	8.5787	9.7914	10.3577	11.13	11.1896	10.0194	5.268	8.0186	11.2712	14.7976	12.0923	13.1289	11.3624	7.5043	5.0867	10.8361	11.8108	11.7329	5.9882	12.5724	13.3347	13.9563	5.518	13.7012	10.7617	10.1807	5.9271	13.6353	12.3736	7.9223	8.3751	7.2207	5.3801	7.3772	6.9847	6.8522	8.3738	8.5415	8.2604	8.1742	9.2329	6.6766	11.3527	8.6973	
CHEBI:17505	C12H22O11	C(C1C(C(C(C(O1)OC2C(C(C(C(C2O)O)O)O)O)O)O)O)O	InChI=1S/C12H22O11/c13-1-2-3(14)4(15)10(21)12(22-2)23-11-8(19)6(17)5(16)7(18)9(11)20/h2-21H,1H2/t2-,3+,4+,5?,6-,7+,8+,9+,10-,11?,12-/m1/s1	Galactitol					1948	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										12.0412	7.8656	12.5123	12.1665	11.5227	11.2052	12.1108	14.3301	12.2746	13.7642	8.8685	12.2489	9.3235	11.9462	12.1661	13.8294	12.6471	10.2871	11.3228	9.262	6.7799	9.5576	10.1029	10.3214	7.6909	11.094	8.6551	9.6259	8.4409	10.3012	10.8609	10.336	7.4656	9.4632	10.5168	8.7757	7.977	11.6696	13.2695	11.5158	13.6447	14.7334	14.07	10.3729	13.5424	11.0409	13.6338	12.425	12.8972	10.6914	
