database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	L_01_1	L_02_1	L_03_1	L_04_1	L_05_1	L_06_1	L_08_1	L_09_1	L_10_1	L_11_1	L_12_1	L_13_1	L_16_1	L_17_1	L_18_1	L_19_1	L_20_1	L_21_1	L_22_1	L_23_1	L_24_1	L_25_1	L_26_1	L_27_1	L_28_1	L_29_1	L_30_1	L_31_1	L_32_1	L_33_1	L_34_1	L_35_1	L_36_1	L_37_1	L_38_1	L_39_1	L_40_1	L_42_1	L_44_1	L_45_1	L_46_1	L_47_1	L_48_1	L_50_1	L_51_1	L_52_1	L_53_1	L_54_1	L_57_1	L_60_1	alkane_1
CHEBI:30031	C4H4O4-2	C(CC(=O)[O-])C(=O)[O-]	InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)/p-2	Succinate					1306	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										895.2756	495.7912	815.6861	846.0289	818.2832	889.5634	875.7614	914.0442	794.304	835.8024	808.0808	952.4902	532.923	738.9807	888.5875	865.5382	876.2165	876.3705	884.4977	634.3629	478.0685	915.1105	885.5985	833.0409	610.9275	911.9994	895.5304	945.1328	495.1221	913.5847	874.0696	905.3043	413.7931	922.105	848.3584	754.8263	842.5357	880.6588	750.4928	947.0863	855.6491	854.3206	909.1018	865.5025	835.7747	962.1867	940.8646	1004.7985	880.87945	808.3103	
CHEBI:33871	C3H5O4-	OCC(O)C([O-])=O	InChI=1S/C3H6O4/c4-1-2(5)3(6)7/h2,4-5H,1H2,(H,6,7)/p-1	Glycerate					1319	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										102.8922	60.7218	151.1403	137.4858	110.9151	148.2529	159.923	130.1712	134.1411	145.0025	120.1321	135.3539	69.9574	110.9238	148.0364	108.8896	104.6548	122.5699	163.109	81.4998	60.8628	138.2215	97.9068	106.5631	76.1948	133.9801	96.5831	105.1047	45.8352	99.8203	93.9913	68.8677	37.7923	99.3343	104.1023	70.62	63.7983	155.5521	102.7003	157.2974	143.0878	143.287	170.6915	139.4763	114.5903	143.3358	169.7515	126.7932	145.918	124.2702	
unknown				MST					1330	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										32.7022	49.5678	49.0562	42.7999	54.6872	39.3006	36.0918	30.8504	27.7234	48.1258	43.6185	39.0097	50.0189	51.1023	31.1398	33.8113	31.3032	38.9212	51.4917	54.3137	54.1056	44.7232	50.5644	52.7277	42.404	59.4834	31.1353	38.8046	75.9814	34.8027	55.5725	56.1762	85.5306	43.3739	58.7195	47.4381	49.3479	42.4539	36.0307	35.0422	56.1509	43.2	38.7851	51.6342	48.2214	47.7271	42.5353	32.7021	56.0718	36.187	
CHEBI:17568	C4H4N2O2	C1=CNC(=O)NC1=O	InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)	Uracil					1332	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										2.7612	2.4793	5.1482	4.246	4.0867	4.0731	3.7829	4.0661	4.2657	3.5808	3.8923	3.4369	3.9444	3.0815	4.2842	3.9294	4.956	4.4605	4.7953	3.3866	3.1532	3.9519	4.4104	5.4922	3.2548	4.7494	4.9812	3.9155	3.1321	6.4865	4.1993	3.4894	4.3	4.3098	4.5648	3.4779	4.3067	2.757	1.9318	2.632	2.2758	2.0285	1.6195	2.331	1.6296	1.1811	1.0843	0.54504	1.9763	1.9746	
CHEBI:29806	C4H2O4-2	C(=CC(=O)[O-])C(=O)[O-]	InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/p-2/b2-1+	Fumarate					1343	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										799.8154	436.3873	947.6258	871.9749	665.4629	712.6569	964.3881	902.0162	698.7977	828.0828	854.818	894.2103	428.0523	568.0561	753.6623	700.2789	842.7194	757.4556	705.3839	419.8106	283.2148	659.1969	540.9376	510.4031	419.4991	656.404	676.0661	769.9879	221.6682	681.5149	552.7459	447.3437	323.2054	705.6572	807.674	452.4717	459.1751	1023.2835	699.0428	1074.0304	874.3017	976.9466	1227.0021	852.2424	876.9785	1135.5366	1010.5358	1282.0376	1086.0441	953.683	
CHEBI:17822	C3H7NO3	NC(CO)C(O)=O	InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)	Serine					1351	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										2308.1831	1598.3432	2090.554	2156.6731	1997.7788	2211.7607	1958.6531	2429.4555	2329.8279	1944.6042	1820.0607	2359.4607	1514.9836	2340.6503	2366.7173	2081.0393	2242.5664	2222.1568	2137.8726	1980.7759	1489.024	2142.4522	2172.7326	2109.3655	1908.9034	2337.5865	2251.6331	2160.2376	1484.2045	2398.5295	2256.1928	2207.6431	1099.48756	2402.667	2056.1764	2183.5671	1907.8652	2260.2311	1623.9729	2241.7645	1897.9208	2077.578	2107.8847	2010.7483	2219.2289	2596.8281	2133.54	2284.6363	2057.692	1977.2149	
CHEBI:16449	C3H7NO2	CCOC(=O)N	InChI=1S/C3H7NO2/c1-2-6-3(4)5/h2H2,1H3,(H2,4,5)	Alanine					1357	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										95.1397	36.3215	116.7456	149.9585	113.641	116.0285	94.5112	80.7915	75.5185	121.0005	225.0283	97.6256	54.7916	61.0999	81.384	78.2567	91.814	86.8801	139.4362	42.125	41.1215	112.5444	74.4809	120.1994	31.8041	96.0375	130.5799	77.0233	47.0255	78.4496	73.8497	82.2191	68.4787	95.6141	93.1356	43.5106	78.9491	77.5373	101.8886	76.4085	91.5487	72.2109	68.9854	101.4124	51.9146	44.2674	49.9096	44.3756	74.8106	73.1683	
unknown				PR-MST					1364	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										34.8607	19.368	34.6987	44.1381	40.7528	36.8542	37.6397	36.0846	30.9243	44.7644	36.475	36.101	26.3801	32.9337	47.7178	34.2519	39.5283	38.8477	42.9427	26.9808	17.8156	40.496	25.432	31.9258	27.1711	41.0624	33.0477	35.7501	19.4618	39.157	39.3563	29.5034	16.0953	33.1631	51.2043	33.1938	28.3098	46.8895	43.0093	37.708	46.6405	44.1823	49.4633	47.8705	44.031	42.3454	45.235	20.0943	50.0915	42.9875	
CHEBI:36110	C6H10NO2-	[O-]C(=O)C1CCCCN1	InChI=1S/C6H11NO2/c8-6(9)5-3-1-2-4-7-5/h5,7H,1-4H2,(H,8,9)/p-1	Pipecolate					1364	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										2.2895	1.0947	3.6785	1.5927	0.44305	3.4915	3.7876	2.4915	3.3548	2.0391	1.5759	1.8496	1.1583	3.5281	2.9084	6.1932	1.8274	3.1539	4.2375	1.208	0.871	1.1309	4.3233	1.7215	1.5653	1.8559	2.0736	2.4397	0.87781	2.9437	0.78047	1.1136	0.62465	1.3708	0.93649	1.6361	0.75189	0.71298	0.2209	1.1504	1.7628	1.1713	1.0308	1.2523	0.040048	0.65251	2.7296	1.1936	0.95368	0.3989	
unknown				MST					1366	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										9.2514	4.9491	6.8874	13.4769	8.0793	10.8683	7.3536	7.4005	7.4372	8.0966	19.5048	14.8471	6.6808	9.8716	9.7508	9.8297	7.7523	6.5363	6.682	5.8142	5.201	7.5409	5.8579	6.6091	5.9041	6.7529	8.9067	6.4006	4.2802	6.5781	7.9471	8.7434	6.1846	10.9643	6.7738	7.423	6.1926	7.9687	6.4541	7.3139	6.0319	7.0796	6.7503	6.5883	6.7127	9.9961	6.2066	6.0327	7.7339	5.8851	
