Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
L_25_1	Extraction		sylilation	L_25_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_25_1	FILES/L_25_1.cdf	Data transformation	L_25_1		Metabolite identification	L_25_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_26_1	Extraction		sylilation	L_26_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_26_1	FILES/L_26_1.cdf	Data transformation	L_26_1		Metabolite identification	L_26_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_27_1	Extraction		sylilation	L_27_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_27_1	FILES/L_27_1.cdf	Data transformation	L_27_1		Metabolite identification	L_27_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_28_1	Extraction		sylilation	L_28_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_28_1	FILES/L_28_1.cdf	Data transformation	L_28_1		Metabolite identification	L_28_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_29_1	Extraction		sylilation	L_29_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_29_1	FILES/L_29_1.cdf	Data transformation	L_29_1		Metabolite identification	L_29_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_30_1	Extraction		sylilation	L_30_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_30_1	FILES/L_30_1.cdf	Data transformation	L_30_1		Metabolite identification	L_30_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_31_1	Extraction		sylilation	L_31_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_31_1	FILES/L_31_1.cdf	Data transformation	L_31_1		Metabolite identification	L_31_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_32_1	Extraction		sylilation	L_32_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_32_1	FILES/L_32_1.cdf	Data transformation	L_32_1		Metabolite identification	L_32_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_33_1	Extraction		sylilation	L_33_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_33_1	FILES/L_33_1.cdf	Data transformation	L_33_1		Metabolite identification	L_33_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_34_1	Extraction		sylilation	L_34_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_34_1	FILES/L_34_1.cdf	Data transformation	L_34_1		Metabolite identification	L_34_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
